city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
san policarpo,44,PH,03/16/2020,67,12.18,125.51,81.73,8.75
byron bay,75,AU,03/16/2020,53,-28.65,153.62,75.99,19.46
moose factory,1,CA,03/16/2020,77,51.26,-80.61,-2.2,6.93
necochea,0,AR,03/16/2020,91,-38.55,-58.74,46.99,3.0
floriano,100,BR,03/16/2020,92,-6.77,-43.02,73.81,4.74
hyderabad,0,IN,03/16/2020,83,17.38,78.47,78.01,4.7
bani walid,0,LY,03/16/2020,87,31.76,13.99,54.03,7.56
humboldt,75,US,03/16/2020,80,40.67,-123.92,42.8,10.29
ambovombe,0,MG,03/16/2020,94,-25.17,46.08,69.24,3.74
port moresby,40,PG,03/16/2020,59,-9.44,147.18,91.4,11.41
hit,100,IQ,03/16/2020,67,33.64,42.83,61.39,2.04
micomeseng,54,GQ,03/16/2020,99,2.15,10.62,70.2,1.77
eydhafushi,42,MV,03/16/2020,72,5.1,73.07,83.66,9.42
mocuba,31,MZ,03/16/2020,98,-16.84,36.99,70.02,3.0
samarai,2,PG,03/16/2020,51,-10.62,150.67,90.34,3.89
westport,1,US,03/16/2020,32,41.14,-73.36,43.0,11.41
soria,100,ES,03/16/2020,92,41.67,-2.67,35.01,8.99
vila velha,20,BR,03/16/2020,88,-20.33,-40.29,77.0,3.36
emba,100,KZ,03/16/2020,88,48.83,58.14,28.71,2.01
lima,40,PE,03/16/2020,83,-12.04,-77.03,75.2,18.34
te anau,98,NZ,03/16/2020,72,-45.42,167.72,49.69,9.01
hope,90,US,03/16/2020,87,33.67,-93.59,48.2,5.82
xichang,0,CN,03/16/2020,44,27.9,102.26,54.79,10.09
maryville,90,US,03/16/2020,87,35.76,-83.97,48.99,6.22
saint-louis,0,SN,03/16/2020,46,16.33,-15.0,71.6,4.7
saint-ambroise,5,CA,03/16/2020,71,48.55,-71.33,3.2,9.17
ondjiva,88,AO,03/16/2020,82,-17.07,15.73,68.38,2.28
taunggyi,8,MM,03/16/2020,15,20.78,97.03,85.3,13.85
inongo,80,CD,03/16/2020,95,-1.95,18.27,72.01,1.41
mayo,1,US,03/16/2020,80,38.89,-76.51,44.01,2.28
tessalit,73,ML,03/16/2020,16,20.2,1.01,72.41,4.23
wisconsin rapids,1,US,03/16/2020,85,44.38,-89.82,30.2,5.82
labuhan,0,ID,03/16/2020,70,-6.88,112.21,85.28,5.99
naze,75,JP,03/16/2020,48,28.37,129.48,64.4,17.22
kalat,39,PK,03/16/2020,38,29.02,66.59,47.86,5.46
pinega,100,RU,03/16/2020,84,64.7,43.39,21.52,14.0
sokolovyy,100,RU,03/16/2020,77,51.57,45.83,26.01,8.99
richards bay,53,ZA,03/16/2020,79,-28.78,32.04,77.61,26.69
cockburn town,0,TC,03/16/2020,69,21.46,-71.14,74.26,15.75
katherine,40,AU,03/16/2020,34,-14.47,132.27,95.0,6.93
oviedo,40,ES,03/16/2020,87,43.36,-5.84,43.0,10.29
adrar,0,MR,03/16/2020,20,20.5,-10.07,67.33,12.62
yumen,68,CN,03/16/2020,18,40.28,97.2,44.08,1.14
margate,18,GB,03/16/2020,93,51.38,1.39,45.0,5.82
hammerfest,90,NO,03/16/2020,73,70.66,23.68,23.0,9.17
zhaotong,22,CN,03/16/2020,69,27.32,103.72,48.76,5.68
kangaba,100,ML,03/16/2020,13,11.93,-8.42,77.07,4.99
